"origin_geoid","conteo","suma_trip_scaled_ratio","geometry","longitud","latitud"
"1300300010283017",3,21.13,c(-98.9427856249933, 20.2641136522391),-98.9427856249933,20.2641136522391
"1300300010283018",3,48.17,c(-98.9414033340594, 20.2572986079244),-98.9414033340594,20.2572986079244
"1300300010283019",2,63.91,c(-98.9417602896674, 20.2576243618586),-98.9417602896674,20.2576243618586
"1300300010283021",1,1.81,c(-98.9424640496028, 20.2582455960396),-98.9424640496028,20.2582455960396
"1300300010283023",13,153.32,c(-98.9428946885381, 20.2590970126185),-98.9428946885381,20.2590970126185
"1300300010283030",3,124.39,c(-98.9407503880069, 20.2583043646441),-98.9407503880069,20.2583043646441
"1300300010283035",5,68.53,c(-98.9407238169637, 20.2564159135655),-98.9407238169637,20.2564159135655
"1300300010315006",4,134.69,c(-98.9286292816243, 20.2824789798939),-98.9286292816243,20.2824789798939
"1300300010315007",1,18.8,c(-98.9297543109957, 20.2801368328097),-98.9297543109957,20.2801368328097
"130030001032A002",1,7.87,c(-98.9292283248128, 20.2857004305176),-98.9292283248128,20.2857004305176
"130030001032A006",7,136.56,c(-98.9299894736342, 20.2848924247394),-98.9299894736342,20.2848924247394
"1300300010334001",3,30.72,c(-98.9329446801292, 20.2649566691623),-98.9329446801292,20.2649566691623
"1300300010349001",1,11.42,c(-98.9425378322348, 20.2703706628255),-98.9425378322348,20.2703706628255
"1300300010349002",1,8.87,c(-98.9435282936413, 20.2703920018903),-98.9435282936413,20.2703920018903
"1300300010349004",7,98.49,c(-98.9424787168034, 20.2717588557097),-98.9424787168034,20.2717588557097
"1300300010349006",2,33.11,c(-98.9414871049988, 20.2694166060978),-98.9414871049988,20.2694166060978
"1300300010349007",4,83.74,c(-98.9425503005959, 20.2694539847492),-98.9425503005959,20.2694539847492
"1300300010349008",1,38.51,c(-98.9435400484043, 20.2694746865618),-98.9435400484043,20.2694746865618
"1300300010349009",2,50.58,c(-98.944534494575, 20.2694825496147),-98.944534494575,20.2694825496147
"1300300010349010",4,60.65,c(-98.9445026068509, 20.2704335990768),-98.9445026068509,20.2704335990768
"1300300010349015",7,37.22,c(-98.9401905071298, 20.2707827698376),-98.9401905071298,20.2707827698376
"1300300010349016",3,48.03,c(-98.9403441054947, 20.2694031071792),-98.9403441054947,20.2694031071792
"1300300010349017",4,32.38,c(-98.9455158112642, 20.2695494084162),-98.9455158112642,20.2695494084162
"1300300010349018",1,8.26,c(-98.9452365153579, 20.2702155427414),-98.9452365153579,20.2702155427414
"1300300010349020",1,22.67,c(-98.9454837336721, 20.2713895729377),-98.9454837336721,20.2713895729377
"1300300010349021",2,42.15,c(-98.9454621794044, 20.2722887727281),-98.9454621794044,20.2722887727281
"1300300010349024",3,31.85,c(-98.9392112521275, 20.2702369937042),-98.9392112521275,20.2702369937042
"1300300010349026",1,31.34,c(-98.9457447377827, 20.2704816851697),-98.9457447377827,20.2704816851697
"1300300010349027",13,144.53,c(-98.9375719198655, 20.2702294285284),-98.9375719198655,20.2702294285284
"1300300010349028",1,22.34,c(-98.9376395277972, 20.2693655671686),-98.9376395277972,20.2693655671686
"1300300010353010",2,73.54,c(-98.9338220884122, 20.2732607061751),-98.9338220884122,20.2732607061751
"1300300010353015",1,69.43,c(-98.9362397343649, 20.2720851360218),-98.9362397343649,20.2720851360218
"1300300010353027",1,10.55,c(-98.9308897854422, 20.2680808429288),-98.9308897854422,20.2680808429288
"1300300010368001",6,48.69,c(-98.9421496424713, 20.2749602216055),-98.9421496424713,20.2749602216055
"1300300010368003",14,428.37,c(-98.9434467269339, 20.2740289461123),-98.9434467269339,20.2740289461123
"1300300010368004",1,9.58,c(-98.9431273673261, 20.2757940386682),-98.9431273673261,20.2757940386682
"1300300010368006",7,86.89,c(-98.9404502225146, 20.2742878106488),-98.9404502225146,20.2742878106488
"1300300010368007",2,49.49,c(-98.9423662128386, 20.273117973877),-98.9423662128386,20.273117973877
"1300300010368008",1,10.5,c(-98.9444485067401, 20.2731343634125),-98.9444485067401,20.2731343634125
"1300300010368009",2,26.81,c(-98.9444304477748, 20.2740444598364),-98.9444304477748,20.2740444598364
"1300300010368010",1,2.18,c(-98.9444045586654, 20.2749769445575),-98.9444045586654,20.2749769445575
"1300300010368014",1,27.42,c(-98.9394170510311, 20.2738938790565),-98.9394170510311,20.2738938790565
"1300300010368017",3,36.18,c(-98.9454309710562, 20.2740793029856),-98.9454309710562,20.2740793029856
"1300300010368018",1,12.42,c(-98.9453954252307, 20.2749973208843),-98.9453954252307,20.2749973208843
"1300300010368019",2,19.81,c(-98.9433601227442, 20.2780626830966),-98.9433601227442,20.2780626830966
"1300300010368020",8,78.74,c(-98.9420214502277, 20.2794898926192),-98.9420214502277,20.2794898926192
"1300300010368025",1,12.01,c(-98.941393795513, 20.2718884319594),-98.941393795513,20.2718884319594
"1300300010368032",1,33.52,c(-98.9418194081809, 20.2853059621068),-98.9418194081809,20.2853059621068
"1300300010368033",2,36.75,c(-98.9386457824191, 20.2744095593229),-98.9386457824191,20.2744095593229
"1300300010372001",1,5.86,c(-98.9357799727998, 20.2783552114933),-98.9357799727998,20.2783552114933
"1300300010372003",6,58.06,c(-98.9365239465682, 20.2785086357166),-98.9365239465682,20.2785086357166
"1300300010372005",1,4.91,c(-98.9359188853683, 20.2792178961129),-98.9359188853683,20.2792178961129
"1300300010372009",1,35.5,c(-98.9363929312797, 20.278969516666),-98.9363929312797,20.278969516666
"1300300010372024",11,142.59,c(-98.9336181960373, 20.2750468173952),-98.9336181960373,20.2750468173952
"1300300010372025",2,19.63,c(-98.9372754141981, 20.2779337449263),-98.9372754141981,20.2779337449263
"1300300010372026",1,13.15,c(-98.9382775138726, 20.2768377055889),-98.9382775138726,20.2768377055889
"1300300030090005",1,15.29,c(-98.9456225965227, 20.2427937912628),-98.9456225965227,20.2427937912628
"1300300030090014",1,1.2,c(-98.9436986101928, 20.2399783883171),-98.9436986101928,20.2399783883171
